_id,REPORT_YEAR,DIVISION,CATEGORY,SUBTYPE,COUNT_
9989,2015,D41,Controlled Drugs and Substances Act,Other,35
9997,2015,D14,Controlled Drugs and Substances Act,Other,24
10087,2015,D13,Controlled Drugs and Substances Act,Other,7
10097,2015,D14,Controlled Drugs and Substances Act,Other,16
10391,2015,D22,Controlled Drugs and Substances Act,Other,17
10703,2015,D23,Controlled Drugs and Substances Act,Other,9
10862,2015,D33,Controlled Drugs and Substances Act,Other,10
10902,2015,D23,Controlled Drugs and Substances Act,Other,13
10949,2015,D12,Controlled Drugs and Substances Act,Other,30
11030,2015,D12,Controlled Drugs and Substances Act,Other,10
11067,2015,D23,Controlled Drugs and Substances Act,Other,3
11180,2015,D32,Controlled Drugs and Substances Act,Other,31
11214,2015,D14,Controlled Drugs and Substances Act,Other,15
11268,2015,D55,Controlled Drugs and Substances Act,Other,35
11480,2015,D14,Controlled Drugs and Substances Act,Other,41
11539,2015,D22,Controlled Drugs and Substances Act,Other,42
11622,2015,D42,Controlled Drugs and Substances Act,Other,5
11915,2015,D13,Controlled Drugs and Substances Act,Other,23
12021,2015,D52,Controlled Drugs and Substances Act,Other,17
12105,2015,D52,Controlled Drugs and Substances Act,Other,67
12329,2015,D53,Controlled Drugs and Substances Act,Other,8
12597,2015,D43,Controlled Drugs and Substances Act,Other,44
12861,2015,D41,Controlled Drugs and Substances Act,Other,59
12905,2015,D41,Controlled Drugs and Substances Act,Other,1
12939,2015,D31,Controlled Drugs and Substances Act,Other,16
12965,2015,D41,Controlled Drugs and Substances Act,Other,56
13053,2015,D23,Controlled Drugs and Substances Act,Other,50
13259,2015,D23,Controlled Drugs and Substances Act,Other,41
13640,2015,D22,Controlled Drugs and Substances Act,Other,2
13702,2015,D51,Controlled Drugs and Substances Act,Other,48
13787,2015,D32,Controlled Drugs and Substances Act,Other,1
13791,2015,D55,Controlled Drugs and Substances Act,Other,21
14274,2015,D55,Controlled Drugs and Substances Act,Other,18
14306,2015,D53,Controlled Drugs and Substances Act,Other,16
14321,2015,D42,Controlled Drugs and Substances Act,Other,22
14490,2015,D43,Controlled Drugs and Substances Act,Other,6
14890,2015,D32,Controlled Drugs and Substances Act,Other,8
14937,2015,D11,Controlled Drugs and Substances Act,Other,15
14984,2015,D41,Controlled Drugs and Substances Act,Other,12
15000,2015,D55,Controlled Drugs and Substances Act,Other,17
15156,2015,D23,Controlled Drugs and Substances Act,Other,7
15249,2015,D33,Controlled Drugs and Substances Act,Other,1
15284,2015,D43,Controlled Drugs and Substances Act,Other,5
15943,2015,D33,Controlled Drugs and Substances Act,Other,2
16121,2015,D13,Controlled Drugs and Substances Act,Other,18
16377,2015,D33,Controlled Drugs and Substances Act,Other,9
16573,2015,D23,Controlled Drugs and Substances Act,Other,20
16789,2015,D31,Controlled Drugs and Substances Act,Other,128
16847,2015,D14,Controlled Drugs and Substances Act,Other,7
16977,2015,D43,Controlled Drugs and Substances Act,Other,3
17033,2015,D32,Controlled Drugs and Substances Act,Other,11
17037,2015,D32,Controlled Drugs and Substances Act,Other,10
17042,2015,D53,Controlled Drugs and Substances Act,Other,27
17379,2015,D13,Controlled Drugs and Substances Act,Other,7
17531,2015,D42,Controlled Drugs and Substances Act,Other,46
18263,2015,NSA,Controlled Drugs and Substances Act,Other,95
18321,2015,D11,Controlled Drugs and Substances Act,Other,22
18377,2015,D41,Controlled Drugs and Substances Act,Other,7
18779,2015,D31,Controlled Drugs and Substances Act,Other,12
18929,2015,D22,Controlled Drugs and Substances Act,Other,12
18931,2015,D32,Controlled Drugs and Substances Act,Other,15
19095,2015,D13,Controlled Drugs and Substances Act,Other,49
19117,2015,D42,Controlled Drugs and Substances Act,Other,7
19136,2015,D13,Controlled Drugs and Substances Act,Other,5
19177,2015,D12,Controlled Drugs and Substances Act,Other,7
19534,2015,D14,Controlled Drugs and Substances Act,Other,51
20047,2015,D33,Controlled Drugs and Substances Act,Other,4
20223,2015,D31,Controlled Drugs and Substances Act,Other,21
20403,2015,D31,Controlled Drugs and Substances Act,Other,50
20622,2015,D22,Controlled Drugs and Substances Act,Other,8
20707,2015,D22,Controlled Drugs and Substances Act,Other,15
20814,2015,D33,Controlled Drugs and Substances Act,Other,1
21044,2015,D23,Controlled Drugs and Substances Act,Other,31
21145,2015,D11,Controlled Drugs and Substances Act,Other,17
21198,2015,D12,Controlled Drugs and Substances Act,Other,15
21227,2015,D52,Controlled Drugs and Substances Act,Other,8
21249,2015,D11,Controlled Drugs and Substances Act,Other,1
21278,2015,D53,Controlled Drugs and Substances Act,Other,3
21351,2015,D33,Controlled Drugs and Substances Act,Other,7
21367,2015,D32,Controlled Drugs and Substances Act,Other,21
21470,2015,D55,Controlled Drugs and Substances Act,Other,7
21664,2015,D51,Controlled Drugs and Substances Act,Other,32
21930,2015,D14,Controlled Drugs and Substances Act,Other,30
22151,2015,D43,Controlled Drugs and Substances Act,Other,34
22349,2015,D55,Controlled Drugs and Substances Act,Other,26
22443,2015,D23,Controlled Drugs and Substances Act,Other,11
22528,2015,D14,Controlled Drugs and Substances Act,Other,137
22594,2015,D14,Controlled Drugs and Substances Act,Other,44
22661,2015,D31,Controlled Drugs and Substances Act,Other,54
22669,2015,D52,Controlled Drugs and Substances Act,Other,42
